,name,type,meet_count,meet_ratio,total_count,meet_codes
61,华为概念,concept,345,0.364,947,"600580,002364,300541,603991,600363,301380,003007,300656,600460,603042,838924,002815,600850,688207,300790,002405,688159,600845,688048,300684,300872,835207,688327,300212,300805,301390,688213,603220,000681,301360,688058,003031,688499,002771,002819,301312,688618,688023,688458,300383,300678,688612,835305,300607,301169,300418,688316,002230,688489,002049,688152,603039,300473,831832,002965,301488,688228,688777,688153,300373,002475,603005,688261,688559,688535,839493,688031,688234,688631,301578,688208,300458,837092,688326,688183,688049,603083,301085,300921,002920,300959,688343,688515,688590,833509,002903,300480,300531,300290,300567,603602,002899,300766,301208,301382,301306,301091,300113,603729,300588,600262,605299,300513,002530,688367,002609,688299,002232,603038,688229,832171,300378,600037,002253,002912,688030,600633,603890,688369,300467,603893,002849,300679,002396,300169,300552,300559,603496,002657,300081,600570,000538,600523,300245,300346,002925,688651,000066,000099,300188,300578,831961,002079,002093,002268,600728,688051,002174,002845,300663,300830,603466,002298,002413,300001,688078,300173,300271,600458,603636,688066,688435,000158,002777,301270,600178,603160,603327,603330,301172,301218,301321,603700,002448,301159,603660,002712,300520,002074,002649,300168,300183,300379,300662,300768,605588,688158,300494,300603,300460,301139,300940,600821,000815,002313,002953,300052,002892,300264,600552,603869,300352,301178,601601,300170,300366,300523,300645,002401,002654,300043,002717,300248,300807,600100,002183,002331,000676,002555,600152,688118,000536,688562,688568,688719,002010,601965,688004,688097,000503,000868,300253,300925,600996,300133,300184,300451,300466,600409,600831,300166,300369,300605,301102,002421,002624,300002,300096,300337,600654,002197,002632,002824,300047,600640,603613,002106,002957,002967,002063,002101,600880,002558,002659,003029,601608,688323,002194,300242,300773,430556,603189,688579,688648,600776,002036,300134,600596,002373,300400,300682,603000,688459,002544,300456,002279,000062,000785,300291,300322,300688,002056,600571,300532,688548,000636,002439,300036,002138,002212,300014,300079,300459,600536,600733,300687,600986,300730,603108,688711,300171,000801,300207,300250,603206,002123,003015,300608,600839,300634,839680,000997,603095,688168,832149,301153,603929,300433,600588,688195,688609,000925,688260,688657,603186,688772,002456,838701,300068,300136,301338,688244,603138,688173,300479"
62,摘帽,concept,8,0.222,36,"300220,603030,000564,603117,600589,300010,600654,002086"
63,信托概念,concept,2,0.083,24,"000958,600120"
64,一带一路,concept,92,0.165,558,"300935,688289,600580,002560,603191,002917,688155,603308,301439,603727,301027,603966,688334,002282,002941,300797,002302,002811,300789,301218,601727,603357,300374,301032,002358,300240,001360,300195,603699,603280,603815,002061,002094,002761,300157,300523,000758,002091,002183,002571,002483,002717,300435,002010,002097,002545,300873,601886,000498,002639,300845,300139,300466,301503,601599,601608,002398,002707,600010,600704,300293,300823,300925,688459,300284,300989,002212,600153,300703,002307,600603,002123,688128,600039,300846,300207,300603,000925,835185,300852,300684,603298,300212,603220,837242,837212,603126,301169,688777,835174,301085,300921"
65,染料,concept,7,0.25,28,"300586,301209,002440,605566,300758,300067,300798"
66,无人驾驶,concept,90,0.311,289,"300489,301091,002232,300928,002708,002213,603786,600262,688167,688367,002023,300679,600650,300552,002413,002858,300520,002448,002649,300825,300304,300807,300047,601965,603190,000868,002418,000909,002465,003029,002967,300925,688280,600718,688109,300240,688251,002313,002845,688648,831961,834599,002373,872541,300036,300322,002703,300655,873806,002036,300456,002456,600733,300846,000851,688195,000925,300710,688158,688135,002236,688207,300790,834475,002405,300656,688288,837242,688213,002819,300590,301099,300698,603197,001266,831832,300418,688316,002965,301488,601689,603596,688582,000977,688208,300458,837092,688326,688521,002920"
67,横琴新区,concept,13,0.31,42,"300147,002005,002400,603138,300030,832110,000532,300304,002717,300043,002101,002063,300458"
68,磷化工,concept,12,0.245,49,"300505,300801,002759,830809,300919,600141,603799,000833,002539,603010,002145,600596"
69,参股券商,concept,21,0.174,121,"603093,600650,600380,000538,000532,000702,300534,600739,600783,600100,600649,601216,600106,600120,000793,600571,002572,601789,600730,601318,600266"
70,生物疫苗,concept,14,0.23,61,"688185,300119,300485,600812,688319,300171,688298,603718,600739,600535,300238,301207,601216,300009"
71,华为昇腾,concept,34,0.642,53,"002777,002649,600100,002331,002063,300451,300047,688109,600728,688590,300659,300036,300687,301378,300479,300634,688207,300872,688327,688058,688023,301169,002230,688228,688031,301085,688343,002253,603496,688066,603636,000158,300520,300663"
