,code,name,industry1,concept,price_change_20
288,600060,海信视像,彩电,,-6.24
289,601579,会稽山,其他酒类,白酒概念,14.25
290,002568,百润股份,其他酒类,,10.37
291,002840,华统股份,肉制品,"猪肉,养鸡,冷链物流",25.13
292,000529,广弘控股,肉制品,,11.99
293,603696,安记食品,调味发酵品,,14.95
294,603755,日辰股份,调味发酵品,,14.59
295,836826,盖世食品,其他食品,,18.77
296,002702,海欣食品,其他食品,,13.64
297,600493,凤竹纺织,棉纺,抗病毒面料,13.9
298,002083,孚日股份,棉纺,托育服务,9.26
299,600987,航民股份,印染,,18.23
300,600448,华纺股份,印染,,8.84
301,002098,浔兴股份,辅料,,11.05
302,002674,兴业科技,辅料,,6.66
303,603558,健盛集团,鞋帽及其他,,16.11
304,003041,真爱美家,家纺,,7.49
305,605003,众望布艺,家纺,,5.05
306,603600,永艺股份,家具,鸿蒙概念,17.77
307,600337,美克家居,家具,,12.61
308,300993,玉马遮阳,其他家用轻工,"抗病毒面料,噪声防治,建筑节能",26.35
309,300945,曼卡龙,饰品,"培育钻石,元宇宙",27.14
310,605299,舒华体育,文娱用品,"鸿蒙概念,健康中国,杭州亚运会,体育产业,跨境电商,海峡两岸",30.48
311,002899,英派斯,文娱用品,足球概念,21.46
312,605177,东亚药业,原料药,,17.47
313,300636,同和药业,原料药,,16.62
314,872925,锦好医疗,医疗设备,,13.84
315,301087,可孚医疗,医疗设备,"血氧仪,互联网医疗",11.39
316,000037,深南电A,火电,,21.89
317,000600,建投能源,火电,"生物质能发电,抽水蓄能,京津冀一体化",20.38
318,000993,闽东电力,水电,"债转股(AMC概念),航运概念",18.96
319,000791,甘肃能源,水电,,16.02
320,600163,中闽能源,新能源发电,,6.92
321,601985,中国核电,新能源发电,,5.68
322,601228,广州港,港口,,11.82
323,601298,青岛港,港口,,8.98
324,600548,深高速,高速公路,,9.68
325,601006,大秦铁路,铁路运输,,1.08
326,000089,深圳机场,机场,,6.53
327,600897,厦门空港,机场,,4.55
328,601319,中国人保,保险,,0.0
329,601628,中国人寿,保险,,-5.51
330,601086,国芳集团,百货零售,,24.71
331,603214,爱婴室,专业连锁,,6.59
332,600605,汇通能源,商业物业经营,,16.83
333,600113,浙江东日,商业物业经营,,13.93
334,600593,大连圣亚,人工景点,,20.66
335,600706,曲江文旅,人工景点,职业教育,20.53
336,000524,岭南控股,旅游综合,,14.77
337,002707,众信旅游,旅游综合,,8.07
338,605108,同庆楼,餐饮,,15.63
339,002186,全聚德,餐饮,,14.07
340,600831,广电网络,有线电视网络,,0.47
341,000156,华数传媒,有线电视网络,,-1.49
342,600551,时代出版,出版,托育服务,11.42
343,002739,万达电影,影视院线,,14.53
344,000917,电广传媒,广告营销,世界杯,13.56
345,002027,分众传媒,广告营销,电子竞技,10.69
346,002829,星网宇达,航天装备,,11.73
347,688282,理工导航,航天装备,,5.87
348,300922,天秦装备,地面兵装,,15.12
349,688543,国科军工,地面兵装,,11.44
350,600150,中国船舶,航海装备,中船系,1.05
351,601989,中国重工,航海装备,,-0.21
352,002478,常宝股份,特钢,,8.52
353,000596,古井贡酒,白酒,,9.19
354,603369,今世缘,白酒,,4.14
355,000929,兰州黄河,啤酒,,9.29
356,000729,燕京啤酒,啤酒,,6.66
357,002357,富临运业,公交,,11.15
358,002627,三峡旅游,公交,,10.08
359,600773,西藏城投,住宅开发,上海国企改革,21.36
360,600463,空港股份,产业地产,,16.01
361,601512,中新集团,产业地产,,7.92
362,000545,金浦钛业,钛白粉,,15.0
363,300891,惠云钛业,钛白粉,,13.83
364,603020,爱普股份,食品及饲料添加剂,人造肉,14.77
365,301156,美农生物,食品及饲料添加剂,,10.49
366,605399,晨光新材,有机硅,"有机硅概念,硅能源",20.74
367,605366,宏柏新材,有机硅,硅能源,17.63
368,603879,永悦科技,合成树脂,农机,23.16
369,002395,双象股份,合成树脂,"MR（混合现实）,足球概念",10.64
370,605488,福莱新材,膜材料,,21.46
371,002341,新纶新材,膜材料,"AI手机,无线充电",19.57
372,601969,海南矿业,冶钢原料,"自由贸易港,海南自贸区",17.66
373,000923,河钢资源,冶钢原料,,16.71
374,600392,盛和资源,稀土,,18.36
375,600259,广晟有色,稀土,,6.86
376,300618,寒锐钴业,能源金属,,29.73
377,301219,腾远钴业,能源金属,,16.53
378,300284,苏交科,工程咨询服务,"空间计算,PPP概念,水利,京津冀一体化",22.11
379,600215,派斯林,机器人,,12.27
380,688290,景业智能,机器人,,8.54
381,603583,捷昌驱动,工控设备,,14.29
382,688646,逸飞激光,激光设备,,6.34
383,300461,田中精机,其他自动化设备,,15.43
384,688329,艾隆科技,其他自动化设备,,0.87
385,688516,奥特维,光伏设备,BC电池,3.65
386,688032,禾迈股份,光伏设备,,1.32
387,300690,双一科技,风电设备,"飞行汽车(eVTOL),PEEK材料,比亚迪概念,3D打印,无人机,风电,碳纤维,新能源汽车,军工",54.32
388,603218,日月股份,风电设备,,21.58
389,300890,翔丰华,电池,"宁德时代概念,钠离子电池,储能,特斯拉,石墨电极,石墨烯",52.02
390,301238,瑞泰新材,电池,"有机硅概念,汽车热管理,高压快充,钠离子电池,超级电容",47.26
391,600212,绿能慧充,其他电源设备,,8.36
392,002630,华西能源,其他电源设备,,6.13
393,688391,钜泉科技,集成电路设计,,6.56
394,688130,晶华微,集成电路设计,,3.08
395,688469,芯联集成,集成电路制造,,-3.83
396,688249,晶合集成,集成电路制造,,-6.67
397,688372,伟测科技,集成电路封测,,1.21
398,688216,气派科技,集成电路封测,,-5.37
399,603061,金海通,半导体设备,,2.82
400,301189,奥尼电子,品牌消费电子,,1.01
401,688007,光峰科技,品牌消费电子,,-0.26
402,002956,西麦食品,休闲食品,,13.68
403,000716,黑芝麻,休闲食品,,10.29
404,605138,盛泰集团,服装,,17.21
405,002117,东港股份,印刷,"人形机器人,Web3.0,电子身份证,互联网彩票",6.65
406,600836,上海易连,印刷,,-9.03
407,603221,爱丽家居,瓷砖地板,,15.74
408,301356,天振股份,瓷砖地板,,10.4
409,300294,博雅生物,血液制品,,4.75
410,000403,派林生物,血液制品,,1.85
411,688739,成大生物,疫苗,,-1.27
412,002581,未名医药,其他生物制品,生物疫苗,13.65
413,688236,春立医疗,医疗耗材,,11.5
414,688399,硕世生物,体外诊断,,21.13
415,301235,华康医疗,其他医疗服务,,8.43
416,301060,兰卫医学,其他医疗服务,,7.75
417,600505,西昌电力,电能综合服务,,16.2
418,000883,湖北能源,电能综合服务,,13.82
419,600724,宁波富达,商业地产,水泥概念,10.28
420,601328,交通银行,国有大型银行,,3.79
421,601288,农业银行,国有大型银行,,1.42
422,600015,华夏银行,股份制银行,,3.77
423,601169,北京银行,城商行,,6.51
424,601229,上海银行,城商行,,3.95
425,601128,常熟银行,农商行,,6.04
426,601888,中国中免,旅游零售,,-7.07
427,600158,中体产业,体育,互联网彩票,5.26
428,002858,力盛体育,体育,,-1.25
429,600052,东望时代,其他社会服务Ⅲ,,11.87
430,600892,大晟文化,游戏,,12.47
431,300467,迅游科技,游戏,,1.82
432,603533,掌阅科技,数字媒体,"AI语料,短剧游戏,电子纸",8.65
433,300413,芒果超媒,数字媒体,,-4.24
434,688668,鼎通科技,通信网络设备及器件,铜缆高速连接,18.7
435,300913,兆龙互连,通信线缆及配套,,11.19
436,300563,神宇股份,通信线缆及配套,,0.82
437,300590,移为通信,通信终端及配件,WiFi 6,17.87
438,688418,震有科技,其他通信设备,,3.9
439,300711,广哈通信,其他通信设备,,1.19
440,688522,纳睿雷达,军工电子,"国产软件,卫星导航",25.69
441,002214,大立科技,军工电子,,13.1
442,603315,福鞍股份,大气治理,特钢概念,12.38
443,600292,远达环保,大气治理,,5.47
444,301148,嘉戎技术,水务及水治理,"核污染防治,新型城镇化,福建自贸区,污水处理",35.53
445,603200,上海洗霸,水务及水治理,消毒剂,25.92
446,002645,华宏科技,综合环境治理,"垃圾分类,汽车拆解概念",40.53
447,300187,永清环保,综合环境治理,"生物质能发电,光伏建筑一体化,PM2.5",23.38
448,003006,百亚股份,个护用品,,11.16
449,300132,青松股份,化妆品,,6.04
450,000615,*ST美谷,医疗美容,,-5.62
451,688363,华熙生物,医疗美容,,-11.18
452,002331,皖通科技,IT服务,"数字经济,ETC",22.19
453,300419,浩丰科技,IT服务,快手概念,15.27
454,301489,思泉新材,,AI PC,-0.29
455,002938,鹏鼎控股,,AI PC,-2.79
456,002933,新兴装备,,人形机器人,1.03
457,603721,中广天择,,Sora概念(文生视频),4.54
458,301022,海泰科,,"小米汽车,智能制造,华为汽车,小米概念",43.65
459,300644,南京聚隆,,PEEK材料,11.46
460,000599,青岛双星,,"长安汽车概念,股权转让,工业互联网,超级品牌,中韩自贸区,物联网",32.76
461,603286,日盈电子,,"长安汽车概念,智能座舱,传感器",27.37
462,002920,德赛西威,,"智能座舱,英伟达概念,传感器,车联网",23.72
463,688109,品茗科技,,"华为昇腾,物业管理",21.73
464,300634,彩讯股份,,华为昇腾,2.86
465,603516,淳中科技,,星闪概念,4.61
466,603297,永新光学,,光刻机,8.1
